Mixture	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Memory_CD4_T_cells	IL1R2_immature_neutrophils	B_cells	Mast_cells_eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4_immature_neutrophils	Non-classical_monocytes	MPO_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs	P-value	Correlation	RMSE
E41T2	0.0115281176662676	0.0335984369562242	0.00837371863644884	0.122999311147392	0.0436780345070029	0.0245635663528454	0.133973119081924	0.0469398361256885	0.0623050980477621	0.0362779936278505	0.0518700344334507	0	0.0263871033701316	0.0168887215694491	0.207192190224446	0.0491206990025175	0	0.0305865713820765	0.00814572458368428	0.077390636841243	0	0.00818108644359499	0	0.967872066050752	0.259903895836729
E41T3	0.0283766003814334	0.0422948113294449	0.0516619667973308	0.160464850495804	0.0216412725586858	0.0567970524607925	0.0124921506948178	0.0583833669227844	0.0487836182256553	0.0569161747904078	0.073042119374438	0	0.018841260793069	0.000766842313024739	0.22256655302901	0.0473750095222138	0	0.0488538709363943	0.0300977249516249	0	0	0.0206447544230689	0	0.933140673455376	0.486063224853967
G01T1	0.00952749394030538	0.0485631969697518	0.0342955773587382	0.0394565726085531	0.0495586117777728	0.0527790298124793	0.292166015429519	0.0368959854789433	0.0248957226260176	0	0.0319922188343708	0	0.000889593971275183	0.0509187843657046	0.245901019683955	0.0409683464592151	0	0.00986788493217738	0.000341865703981409	0.0246633863953262	0	0.00631869365191381	0	0.977164678204833	0.290827447655959
G01T2	0.00455934306899992	0.0497660163944056	0.00733841157341107	0.104221150976469	0.0503743755871351	0.063394231407448	0.0993025456875624	0.0371618054878119	0.0683463518561752	0.158157654099659	0.0238855252546043	0	0.0163238276060012	0.0347986883258825	0.109545702827186	0.071208529656262	0	0.0173703451263076	0.0149523722944351	0.0357579741615151	0.0176941285008441	0.0158410201078856	0	0.9416684127411	0.413673869195202
G01T3	0.0468659998780083	0.0588010544452903	0.0205868183187278	0.151948025217191	0.0625840455039325	0.0987874385014786	0	0.0496179043140759	0.0437144329574312	0.165484391500729	0.0240233012294531	0.00905387755434345	0.00911766102041467	0.0563410796626206	0.0134287870793216	0.0516612098685804	0.00710085505183112	0.00466317711030875	0	0.0453536813778974	0.0690466480347288	0.0118196113736352	0	0.947212070863788	0.640173817029782
G07T1	0.0164507212646608	0.0267628238224732	0.0626344964201494	0.136726227648152	0.0922932216125491	0.0399293228211707	0.193254885226123	0.0828264504681316	0.0175906514128638	0	0.037180172629	0	0.00428001286571931	0.0387785409562792	0.209275049553716	0.0287904228658064	0	0.00293535666191144	0.000496142346044241	0	0.000580653893645001	0.00921484753160447	0	0.981844538677952	0.201275301410797
G07T2	0.0173348978030312	0.0566438079036881	0.052105183543657	0.171423335515648	0.0831048658817828	0.029876647714325	0	0.109748224290327	0.0045708436380546	0	0.0510561994364904	0	0.0238049286874949	0.0654565922490618	0.156742602713288	0.03702793044377	0.0259561267541321	0	0.0492155955676432	0.0380428090727532	0.0275443985901156	0.000345010194736652	0	0.974569547065315	0.44339721442041
G07T3	0.0154639815372177	0.0516937587847547	0.0377524534178575	0.130485940319781	0.103342409500078	0.051167618849901	0	0.107590035446174	0.00654876847686292	0.0279766304865631	0.0486155756289183	0	0.0258490532776318	0.0756988918118501	0.122670311031971	0.0275364465642667	0.0277456365185389	0	0.057788812730177	0.0467062744199808	0.0339791017199187	0.00138829947755637	0	0.962399176575435	0.479946836387696
G11T1	0.0182616019308981	0.0421417626633655	0.0638521263211764	0.134896712496025	0.057182483204072	0.0326587640370883	0.249066609354308	0.0295865625348162	0.00461081679525588	0	0.0690388627234261	0	0.00543480382360998	0.0293692145626014	0.178620241479396	0.0228458638177371	0	0.0240509860840403	0.00510953941658126	0.0320061447769015	0	0.00126690397870121	0	0.979519056549321	0.211031367640794
G11T2	0.0872910686035676	0.0315479842573458	0.0862478140292162	0.122356832989478	0.0515708620011039	0.0408865840389122	0	0.0561397420627584	0.00577634690026673	0	0.0507714732371046	0	0.00863948575396993	0.0197214970816898	0.257615241896613	0.0196055948564652	0.0766125276802628	0.0100662743925313	0.0649042574309169	0.00991382201636935	0	0.000332590771428245	0	0.9869479854949	0.241204870138076
