Mixture	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs	P-value	Correlation	RMSE
G33T1	0.000544773328913905	0.042479978206345	0.0370826962012692	0.140699153697519	0.126110989755694	0.163650360332515	0.0570434538172456	0.00305509179013599	0.0398069673289364	0.0335780188915903	0.0287235418139395	0.0310101171176449	0.0031174530623875	0.0186147969808935	0.0259455093914858	0.102173242884822	0.0691221492349035	0.00127006382756076	0.0333709599035135	0.00239426003008419	0.0218374124715351	0	0.0183690099310648	0	0.95127043231919	0.560865127658009
G33T2	0.00857759622207921	0.0572607344114495	0.0818855880809657	0.15672529836542	0.0884892467771177	0	0.0420728487007493	0	0.0444028850816136	0.0026630578201981	0	0.0501193727296293	0.0128406860432943	0.0151242460707978	0.00675104442819312	0.275968963333662	0.0179687451036863	0.0253921255281549	0	0.0531746228346728	0.0278415064090544	0.0327414320592622	0	0	0.972879197664282	0.395411473770092
G33T3	0.0080851001511693	0.0235493865410774	0.0196443396391445	0.162533884901874	0.0972996143930221	0.153296400892921	0.0378988788940802	0	0.0292273097242114	0.0364208631848977	0.0535554385202528	0.0220947884698105	0	0.0359231652200185	0.046731533305696	0.0540223074634584	0.047875317657982	0.0265423076435639	0	0.022682124431618	0.0666910900970802	0.0433076844766553	0.012618464391467	0	0.94776687065669	0.512655967369012
G35T1	0.000627533627289701	0.00374824019419908	0.0313789308461163	0.0837081863833914	0.0892471795048072	0	0.0178925004167673	0.132403324728587	0.0170692038066322	0.0265740632277395	0	0.0555012564366642	0.00898524175167502	0.0297874027641507	0.0143283981442168	0.351596643990601	0.0558857461561658	0	0.0124165764449119	0.00102261715738197	0.0576865672000623	0	0.0101403872186407	0	0.971160470671235	0.240081352113399
G35T2	0.000260371006412592	0.0299072988884919	0.0727441809414268	0.0836535109804635	0.0844232108098213	0.0314036657973004	0.0239859010602237	0.0245771552623573	0.0408165322707761	0.00708646349200778	0	0.0753118563164883	0.023197661042561	0.027641095525361	0.0111519394859008	0.33092040290235	0.0342146956201495	0.0190573092692666	0.0450941989434153	0.0117781725819277	0.0142710924888815	0	0.00850328531441693	0	0.973734838515	0.339939187351713
G35T3	0.0571381502446699	0.00929428510807837	0.0627688887589084	0.127517353913279	0.0573023743075991	0	0.0438751899064049	0	0.0122491722073148	0.0203116766929345	0	0.102455424479298	0	0.0158718873896361	0.0170462137004852	0.272559607697895	0.0301816575788319	0.0975054314534385	0.00186429191031671	0.0476797267603437	0.0106485278807009	0	0.0137301400098646	0	0.964619760633269	0.326105515747015
G42T1	0.0109223368226973	0.0117789690802724	0.0200973598375584	0.138188374485726	0.0642378411261657	0.0259686995836996	0.010951924859657	0.0537413123290795	0.0358803286818465	0.0169983960735614	0.0193150207938954	0.037168628573507	0.000480465684040305	0.0186717894193855	0.024933734813956	0.290776298844506	0.0551625539325348	0.00526975396765336	0.0605351225585048	0.00413591134654893	0.0808160621421671	0	0.0139691150430368	0	0.984412451467757	0.259811358985247
G42T2	0.00329462063923912	0.0109253667173331	0.0291620137450033	0.173482196343909	0.0751408016937519	0.0375366493062488	0.0191183478933974	0	0.0432658693084976	0.0044641768431849	0.0602121540546033	0.0455265990053703	0.0101100598966193	0.018767532251347	0.0235746488474485	0.261307422669121	0.0573139447785744	0.0232940577246985	0.0223014450517217	0.0135398457193099	0.0624484062060609	0.000166496531200751	0.00504734477335963	0	0.971000721618696	0.360404904826167
G42T3	0.0112569108479099	0.0407776024866289	0.0256381706222579	0.190243573596597	0.0441162956107215	0.046695508811236	0.0268359716367625	0	0.0241683804273062	0.0255949580116176	0.0362381418670709	0.0524666039189145	0.012216539596829	0.0272904902396913	0.0432295073847947	0.102216286130867	0.0471331037676466	0.0477530641640225	0	0.0592067195078882	0.083582026135629	0.0425867270781265	0.0107534181574819	0	0.908102499887518	0.515145952426214
G43T1	0.00714723956745198	0	0.024104803954635	0.074287602176712	0.0648214199302727	0	0.0232384077228157	0.235401199603229	0.0268190486159318	0.00109701020185588	0	0.0526043406796556	0	0	0.0169842596549207	0.397410975083457	0.0233249459875997	0	0.00490014260143197	0.00234097986252201	0.038141102955789	0	0.00737652140172044	0	0.982772959194058	0.331587839669374
G43T2	0.00826671881190841	0.00121402552305488	0.0229657757869715	0.119911871836322	0.0603778632199517	0	0.0252583701944879	0.0503760260065603	0.0149207734199056	0.00965813655454196	0	0.0410086555916617	0.000468710669013924	0.017629174585691	0.0248834414746229	0.448512281509274	0.0470205120819683	0.00349774401636678	0.00674630567949868	0.0282023911078077	0.0638010687495082	0	0.00528015318088242	0	0.98357178662474	0.182905641317425
G43T3	0.0190484801263058	0.0109319668096685	0.0254948316976205	0.113054381958987	0.0665341670621196	0.0134919225341248	0.0416060215663124	0	0.0109504682418224	0.00516745712657416	0	0.0455429656847997	0	0.0156206218197946	0.0271942790372907	0.358905284711617	0.0610601861551761	0.0866570373208495	0	0.0547235846517305	0.023746854904359	0	0.020269488590848	0	0.983623411637573	0.194915443622344
G44T1	0.00748992572822199	0.00827787236924618	0.0315561424618949	0.124063231917227	0.0767845680975342	0	0.021282726462508	0.162112886910581	0.0163585047933865	0.00500216875569867	0	0.0569117222903118	0.0107635356749611	0.0238156673305191	0.0119576444074398	0.342469144636526	0.0490486899548543	0	0	0	0.0417094016720765	0	0.010396166537013	0	0.977858668860937	0.214340756183364
G44T2	0.00965320051977579	0.053982777170902	0.0334806038634993	0.148147852334376	0.0637949266446885	0	0.0371275456436815	0	0.0359882575258721	0.0181654362493543	0.0328193192295204	0.0492737994423766	0.034058355771325	0.0279728854564019	0.0351482414440161	0.202397713202171	0.0542819245910519	0.0484999582908236	0	0.031765411818372	0.04473273436607	0.0387090564357224	0	0	0.954649617809318	0.458430825223413
G44T3	0.0843251450651065	0.0466069535786619	0.00934390351764237	0.0764018987276453	0.116393111941239	0.0847448150666737	0.0101935434686517	0	0.0140415052243725	0.0292901375373603	0.046862289804554	0.033776505261985	0.0103570310859637	0.0309735288314659	0.0450112784895976	0.11044474705581	0.0570331928467941	0.0606718708084556	0	0.03086059849397	0.0605506035863919	0.0302636694049203	0.0118536702027388	0	0.861536457263646	0.567871071302335
G45T1	0.0160353359509935	0.0210362744077316	0.0264853655401223	0.151817091057291	0.0466610842465499	0	0.0087677066279379	0.0914277214589094	0.0170654522268863	0.0133314160146984	0	0.0392962122860947	0.00958764558425573	0.0111934175679462	0.0062214831459928	0.414744593208005	0.0462600640601642	0.00203787266225038	0.0166924018960466	0	0.0506193618268882	0	0.0107195002312351	0	0.983582062402487	0.182722774058271
G45T2	0.0410084736345322	0.0281146789529478	0.0674448826423503	0.173681655755908	0.0435984928771165	0	0.00646848413725106	0	0.0291396296645383	0.00754551388548593	0.00188670184510033	0.0435786716329494	0.023180059660763	0.0137030286180753	0.00632355558373589	0.284199614948076	0.0280306954576092	0.0872659820541272	0.000584690294535083	0.0582943006440569	0.0470633231101141	0	0.00888756460072818	0	0.966786207827827	0.285298979839092
G45T3	0.00759443341139616	0.0364786271326796	0.0789710333002413	0.14301294840652	0.0580187205438973	0	0.0370765006961209	0	0.0289888853290121	0.00726184398536061	0.0191666026631025	0.0492636836876915	0	0.0383272201598122	0.019763763605284	0.182925725244429	0.0405498787663744	0.144805921247721	0.00274172519004477	0.0871935212579301	0	0	0.0178589653723826	0	0.963993097379806	0.3092930310857
G47T1	0.00619363615923897	0.00470348769902804	0.0300430739382613	0.0738719487282372	0.0319625600096907	0	0.0125662563197215	0.162528064987773	0.0160688682967458	0.00423509925744422	0	0.0417434779598142	0	0.00519961881168932	0.0121814134360375	0.445804548906773	0.0404489677295087	0	0.0478454317098153	0.0174658926822651	0.0337261325651285	0	0.0134115208028276	0	0.979912781505584	0.27081234505734
G47T2	0.0404970194603837	0.0198184595167732	0.0490598720629681	0.147110114910383	0.0420065725402664	0	0.0052578951166268	0.0619050428274915	0.022876443030425	0.00569911890532676	0.012885642617228	0.0415381979892148	0.0051303617751578	0.00996390102629363	0.0123259999541582	0.320421322249419	0.046301718972081	0.0419071349869114	0.0238746502573759	0.0291653377975616	0.0530022943103732	0	0.00925289969358061	0	0.979530917595335	0.217072024189526
G47T3	0.0314696829672053	0.0179675877318618	0.0714778632511208	0.10687413269455	0.0642858525915449	0	0.0169527112811844	0	0.0245744446454625	0.00645732267190018	0.0134769288274931	0.0428092490702566	0.00451554818808104	0.0142768572027154	0.00563992349990495	0.339515561615474	0.0466305976982987	0.0904030072576694	0.0160472019107146	0.0657233619052658	0.00836364149933709	0	0.0125385234899595	0	0.976236435896345	0.240099143295311
G49T1	0.00846214513728324	0.00213573370474557	0.0708668751176267	0.15518780712827	0.0192410095909493	0	0.011588267203755	0.255127876603874	0.0168772658981931	0	0	0.0407779680536929	0	0	0.00946225938319307	0.365132290519939	0.0230621554246652	0	0.00876208362784422	0.00102157530875821	0	0	0.0122946872972108	0	0.979742499515816	0.309830294985288
G49T2	0.00436261898020822	0.050139972236691	0.0500916806210093	0.146889262226678	0.0366761175332798	0	0.0563786231041309	0.0341308862196462	0.028752569988359	0.00353671913466953	0	0.0550394320783242	0.0312095064979442	0.0157888617190758	0.0410772213816449	0.347644775286542	0.0201196006448812	0.000554082772589526	0.0221532837154104	0.000919167356606446	0.0416351312072053	0	0.0129004872951041	0	0.983635828745101	0.315884745685262
